"","BUSINESS_DATE","sales","visits","weekday","NET_COST","FORMAT.15 secondi","FORMAT.20 secondi","FORMAT.30 secondi","NETWORK.Area News-Radio Margherita-Kiss Kiss Italia","NETWORK.CNR Radio FM","NETWORK.R101","NETWORK.Radio 105 Network","NETWORK.Radio Deejay Network","NETWORK.Radio Dimensione Suono Network","NETWORK.Radio Italia Solo Musica Italiana","NETWORK.Radio Kiss Kiss Network","NETWORK.Radio Sportiva","NETWORK.Radiodue","NETWORK.Radiouno","NETWORK.RTL 102.5 Hit Radio","NETWORK.Teamradio University","NETWORK.Virgin Radio","trend"
"150","2015-10-11",3146691.5,382317,"Sunday",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150
"151","2015-10-12",1777011.45,265483,"Monday",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,151
"152","2015-10-13",1791708.58,265729,"Tuesday",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,152
"153","2015-10-14",1854702.31,272229,"Wednesday",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,153
"154","2015-10-15",1972279.79,284397,"Thursday",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,154
"155","2015-10-16",2491593.45,345298,"Friday",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,155
"156","2015-10-17",3522846.85,448196,"Saturday",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,156
"157","2015-10-18",2994293.14,366901,"Sunday",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,157
"158","2015-10-19",1726035.63,258509,"Monday",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,158
"159","2015-10-20",1740074.39,259420,"Tuesday",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,159
"160","2015-10-21",1815304.62,265725,"Wednesday",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,160
"161","2015-10-22",1875809.89,274388,"Thursday",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,161
"162","2015-10-23",2405678.19,335505,"Friday",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,162
"163","2015-10-24",3479826.76,446396,"Saturday",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,163
"164","2015-10-25",2948099.19,363873,"Sunday",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,164
"165","2015-10-26",1612062.61,245064,"Monday",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,165
"166","2015-10-27",1630328.08,247918,"Tuesday",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,166
"167","2015-10-28",1626185.93,243305,"Wednesday",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,167
"168","2015-10-29",1734295.64,256773,"Thursday",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,168
"169","2015-10-30",2299306.87,324756,"Friday",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,169
"170","2015-10-31",3341761.49,432176,"Saturday",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,170
"171","2015-11-01",2835041.03,351081,"Sunday",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,171
