,BUSINESS_DATE,sales,visits,weekday,15 secondi_R101,15 secondi_Radio 105 Network,15 secondi_Radio Deejay Network,15 secondi_Radio Dimensione Suono Network,15 secondi_Radio Italia Solo Musica Italiana,15 secondi_Radio Kiss Kiss Network,15 secondi_Virgin Radio,20 secondi_Area News-Radio Margherita-Kiss Kiss Italia,20 secondi_CNR Radio FM,20 secondi_R101,20 secondi_Radio 105 Network,20 secondi_Radio Deejay Network,20 secondi_Radio Dimensione Suono Network,20 secondi_Radio Italia Solo Musica Italiana,20 secondi_Radio Kiss Kiss Network,20 secondi_Radio Sportiva,20 secondi_Radiodue,20 secondi_Radiouno,20 secondi_RTL 102.5 Hit Radio,20 secondi_Teamradio University,20 secondi_Virgin Radio,30 secondi_Radio 105 Network,trend
126,9/17/15,1987262.08,301809,Thursday,0,0,0,0,0,0,0,552.48,0,632.1,1223.19,0,1720.27,1541.89,528.25,0,0,459,2408.36,0,612.78,0,126
127,9/18/15,2489570.72,358390,Friday,0,0,0,0,0,0,0,552.48,0,632.1,1223.19,0,1720.27,1541.89,528.25,0,54.4,387.6,2408.36,0,612.78,0,127
128,9/19/15,3344787.36,447457,Saturday,0,0,0,0,0,0,0,552.48,0,632.1,1223.19,0,1720.27,1541.89,528.25,0,0,377.4,2408.36,0,612.78,0,128
129,9/20/15,2965862.98,379264,Sunday,0,0,0,0,0,0,0,0,0,632.1,1223.19,0,1720.27,1541.89,528.25,0,0,0,2408.36,0,612.78,0,129
130,9/21/15,1777971.98,276109,Monday,0,0,0,0,0,0,0,0,0,632.1,1223.19,0,1720.27,1541.89,528.25,0,0,0,2408.36,0,612.78,0,130
131,9/22/15,1806005.61,279835,Tuesday,0,0,0,0,0,0,0,0,0,632.1,1223.19,0,1720.27,1541.89,528.25,0,0,0,2408.36,0,612.78,0,131
132,9/23/15,1855185.69,279393,Wednesday,0,0,0,0,0,0,0,0,0,632.1,1223.19,0,1720.27,1541.89,528.25,0,0,0,2408.36,0,612.78,0,132
133,9/24/15,1997027.31,299607,Thursday,0,0,0,0,0,0,0,0,0,632.1,1223.19,0,1720.27,1541.89,528.25,0,0,0,2408.36,0,612.78,0,133
134,9/25/15,2466808.34,356239,Friday,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,134
135,9/26/15,3294679.65,441249,Saturday,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,135
136,9/27/15,2960270.44,377098,Sunday,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,136
137,9/28/15,1725171,267368,Monday,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,137
138,9/29/15,1767263.16,273375,Tuesday,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,138
139,9/30/15,1895779.88,280167,Wednesday,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139
140,10/1/15,1934449.36,281875,Thursday,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42500,140
141,10/2/15,2411388.55,337123,Friday,0,0,0,0,0,0,0,0,1727.46,0,1223.19,2461.8,1720.27,0,0,0,1056.38,194.48,0,0,612.78,0,141
142,10/3/15,3567128.36,452908,Saturday,0,0,0,0,0,0,0,0,1727.46,0,1223.19,2461.8,1720.27,0,0,0,433.16,583.44,0,0,612.78,0,142
143,10/4/15,3094923.74,379343,Sunday,0,0,0,0,0,0,0,0,1727.46,0,1223.19,2461.8,1720.27,0,0,0,734.97,388.96,0,0,612.78,0,143
144,10/5/15,1767151.76,265322,Monday,0,0,0,0,0,0,0,0,1727.46,0,1223.19,2461.8,1720.27,0,0,0,1007.12,147.75,0,0,612.78,0,144
