"","BUSINESS_DATE","sales","visits","weekday","15 secondi_R101","15 secondi_Radio 105 Network","15 secondi_Radio Deejay Network","15 secondi_Radio Dimensione Suono Network","15 secondi_Radio Italia Solo Musica Italiana","15 secondi_Radio Kiss Kiss Network","15 secondi_Virgin Radio","20 secondi_Area News-Radio Margherita-Kiss Kiss Italia","20 secondi_CNR Radio FM","20 secondi_R101","20 secondi_Radio 105 Network","20 secondi_Radio Deejay Network","20 secondi_Radio Dimensione Suono Network","20 secondi_Radio Italia Solo Musica Italiana","20 secondi_Radio Kiss Kiss Network","20 secondi_Radio Sportiva","20 secondi_Radiodue","20 secondi_Radiouno","20 secondi_RTL 102.5 Hit Radio","20 secondi_Teamradio University","20 secondi_Virgin Radio","30 secondi_Radio 105 Network","trend","sales_per_visit"
"130","2015-09-21",1777971.98,276109,"Monday",0,0,0,0,0,0,0,0,0,632.1,1223.19,0,1720.27,1541.89,528.25,0,0,0,2408.36,0,612.78,0,130,6.43938437356262
"131","2015-09-22",1806005.61,279835,"Tuesday",0,0,0,0,0,0,0,0,0,632.1,1223.19,0,1720.27,1541.89,528.25,0,0,0,2408.36,0,612.78,0,131,6.45382318151768
"132","2015-09-23",1855185.69,279393,"Wednesday",0,0,0,0,0,0,0,0,0,632.1,1223.19,0,1720.27,1541.89,528.25,0,0,0,2408.36,0,612.78,0,132,6.64005787546574
"133","2015-09-24",1997027.31,299607,"Thursday",0,0,0,0,0,0,0,0,0,632.1,1223.19,0,1720.27,1541.89,528.25,0,0,0,2408.36,0,612.78,0,133,6.66548949123352
"134","2015-09-25",2466808.34,356239,"Friday",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,134,6.92458809956237
"135","2015-09-26",3294679.65,441249,"Saturday",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,135,7.46671301238076
"136","2015-09-27",2960270.44,377098,"Sunday",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,136,7.85013561461477
"137","2015-09-28",1725171,267368,"Monday",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,137,6.45242138176596
"138","2015-09-29",1767263.16,273375,"Tuesday",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,138,6.46461146776406
"139","2015-09-30",1895779.88,280167,"Wednesday",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139,6.76660663104505
"140","2015-10-01",1934449.36,281875,"Thursday",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42500,140,6.8627915210643
"141","2015-10-02",2411388.55,337123,"Friday",0,0,0,0,0,0,0,0,1727.46,0,1223.19,2461.8,1720.27,0,0,0,1056.38,194.48,0,0,612.78,0,141,7.15284495569866
"142","2015-10-03",3567128.36,452908,"Saturday",0,0,0,0,0,0,0,0,1727.46,0,1223.19,2461.8,1720.27,0,0,0,433.16,583.44,0,0,612.78,0,142,7.87605509286654
"143","2015-10-04",3094923.74,379343,"Sunday",0,0,0,0,0,0,0,0,1727.46,0,1223.19,2461.8,1720.27,0,0,0,734.97,388.96,0,0,612.78,0,143,8.15864202054605
"144","2015-10-05",1767151.76,265322,"Monday",0,0,0,0,0,0,0,0,1727.46,0,1223.19,2461.8,1720.27,0,0,0,1007.12,147.75,0,0,612.78,0,144,6.66040418811859
"145","2015-10-06",1762381.98,264984,"Tuesday",0,0,0,0,0,0,0,0,1727.46,0,1223.19,2461.8,1720.27,0,0,0,1104.36,342.23,0,0,612.78,0,145,6.65089960148537
"146","2015-10-07",1854500,274448,"Wednesday",0,0,0,0,0,0,0,0,1727.46,0,1223.19,2461.8,1720.27,0,0,0,1029.22,342.23,0,0,612.78,0,146,6.75719990672186
